Tweet
"RT GarimaS38018144: kimansingh17 HDFC_Bank ICICIBank please teach this bank AxisBankSupport How to solve customer issues..
axisbank ?"
"RT GarimaS38018144: kimansingh17 HDFC_Bank ICICIBank please teach this bank AxisBankSupport How to solve customer issues..
axisbank ?"
"RT GarimaS38018144: kimansingh17 HDFC_Bank ICICIBank please teach this bank AxisBankSupport How to solve customer issues..
axisbank ?"
"RT GarimaS38018144: kimansingh17 HDFC_Bank ICICIBank please teach this bank AxisBankSupport How to solve customer issues..
axisbank ?"
"RT prashant280294: AxisBank 

Seems big move coming up ??
Looks bullish here at 751
Can do 785/795 in June series and 841 by July series?"
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"Axis Bank Revises SMS Alert Charges On Savings Account, Details Inside  axisbank via GoodReturnsIN"
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
Axis Bank is making interesting pattern over weekly chart. It is failed to cross 750. If it closes above 750 by tom? 
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"AXISBANK  : Above  760/800
AJANTPHARM : Above 2050
ANDHRSUGAR : Above 470
ASHIANA : Above 150/165
BATAINDIA  :? "
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
AxisBankSupport I can't visit bank in such situation. My account has updated address can't you update from there.? 
"axisbank buy
Cmp 742"
?????-19 ?? ?????? ??? ???? ?????? ?? ?? ?? ????? ???? ????? ?? ??? ??????? ???? ?? ??? ????? ????? ?? 30 ?????? ??? 
"AxisBank AxisBankSupport 
I am very impressed with your twitter help center, your service center is amazing, twic? "
"AxisBank AxisBankSupport 
I am very impressed with your twitter help center, your service center is amazing, twic? "
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
"AxisBank AxisBankSupport AxisBank 

Why is there a temporary credit when I paid in full. Do remove the temporary? "
"AxisBank AxisBankSupport AxisBank 

Why is there a temporary credit when I paid in full. Do remove the temporary? "
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
Axis bank loan account service calls are not a service but a harassment for any decent customer.  The persons who m? 
"Sell Axisbank below 738 sl above 746 tgt 735, 728, 722
intraday  profit equity dailytrade intradaytrade? "
"RT CSCegov_: Launch of Axis Bank BCs through CSC...

To hear more about the launch, watch it LIVE on the CSC Facebook Page, on 17th June?"
